,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) IF RIVAL HAS SQUIRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ROUTE 22 #1
RIVAL",,Snubbull,,,,,Litleo,,,,,Squirtle,,,,,,,,,,,,,,,,,,
,,,,Highest Lv -1,,,,,Highest Lv -1,,,,,Highest Lv,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Adamant,,,,,Timid,,,,,Adamant,,,,,,,,,,,,,,,,,,
,,,,Intimidate,,,,,Rivalry,,,,,Torrent,,,,,,,,,,,,,,,,,,
,,,,Muscle Band,,,,,Wise Glasses,,,,,Oran Berry,,,,,,,,,,,,,,,,,,
,,,,Pow-Up Punch,,,,,Incinerate,,,,,Pow-Up Punch,,,,,,,,,,,,,,,,,,
,,,,Covet,,,,,Round,,,,,Aqua Jet,,,,,,,,,,,,,,,,,,
,,,,Thunder Wave,,,,,HP Grass,,,,,Rock Tomb,,,,,,,,,,,,,,,,,,
,,,,Fire Fang,,,,,Sleep Talk,,,,,Curse,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,,,,,,,,,,,,,,
,,,,HP,60,,,,HP,62,,,,HP,44,,,,,,,,,,,,,,,,,
,,,,ATK,80,,,,ATK,50,,,,ATK,48,,,,,,,,,,,,,,,,,
,,,,DEF,50,,,,DEF,58,,,,DEF,65,,,,,,,,,,,,,,,,,
,,,,SPA,40,,,,SPA,73,,,,SPA,50,,,,,,,,,,,,,,,,,
,,,,SPD,40,,,,SPD,54,,,,SPD,64,,,,,,,,,,,,,,,,,
,,IF YOU'RE,,SPE,30,,,,SPE,72,,,,SPE,43,,,,,,,,,,,,,,,,,
,,LEVEL 16 ->>,,SPEED STAT:,,,18,,SPEED STAT:,,,34,,SPEED STAT:,,,23,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) IF RIVAL HAS CHARMANDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ROUTE 22 #1
RIVAL",,Snubbull,,,,,Slowpoke,,,,,Charmander,,,,,,,,,,,,,,,,,,
,,,,Highest Lv -1,,,,,Highest Lv -1,,,,,Highest Lv,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Adamant,,,,,Bold,,,,,Jolly,,,,,,,,,,,,,,,,,,
,,,,Intimidate,,,,,Regenerator,,,,,Solar Power,,,,,,,,,,,,,,,,,,
,,,,Muscle Band,,,,,Leftovers,,,,,Muscle Band,,,,,,,,,,,,,,,,,,
,,,,Pow-Up Punch,,,,,Thunder Wave,,,,,Pow-Up Punch,,,,,,,,,,,,,,,,,,
,,,,Covet,,,,,Water Pulse,,,,,Fire Fang,,,,,,,,,,,,,,,,,,
,,,,Thunder Wave,,,,,Psybeam,,,,,Thunder Punch,,,,,,,,,,,,,,,,,,
,,,,Fire Fang,,,,,Teleport,,,,,Slash,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,,,,,,,,,,,,,,
,,,,HP,60,,,,HP,90,,,,HP,39,,,,,,,,,,,,,,,,,
,,,,ATK,80,,,,ATK,65,,,,ATK,52,,,,,,,,,,,,,,,,,
,,,,DEF,50,,,,DEF,65,,,,DEF,43,,,,,,,,,,,,,,,,,
,,,,SPA,40,,,,SPA,40,,,,SPA,60,,,,,,,,,,,,,,,,,
,,,,SPD,40,,,,SPD,40,,,,SPD,50,,,,,,,,,,,,,,,,,
,,IF YOU'RE,,SPE,30,,,,SPE,15,,,,SPE,65,,,,,,,,,,,,,,,,,
,,LEVEL 16 ->>,,SPEED STAT:,,,18,,SPEED STAT:,,,14,,SPEED STAT:,,,33,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) IF RIVAL HAS BULBASAUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"ROUTE 22 #1
RIVAL",,Snubbull,,,,,Slowpoke,,,,,Bulbasaur,,,,,,,,,,,,,,,,,,
,,,,Highest Lv -1,,,,,Highest Lv -1,,,,,Highest Lv,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Adamant,,,,,Bold,,,,,Timid,,,,,,,,,,,,,,,,,,
,,,,Intimidate,,,,,Regenerator,,,,,Overgrow,,,,,,,,,,,,,,,,,,
,,,,Muscle Band,,,,,Leftovers,,,,,Oran Berry,,,,,,,,,,,,,,,,,,
,,,,Pow-Up Punch,,,,,Thunder Wave,,,,,Sleep Powder,,,,,,,,,,,,,,,,,,
,,,,Covet,,,,,Water Pulse,,,,,Mega Drain,,,,,,,,,,,,,,,,,,
,,,,Thunder Wave,,,,,Psybeam,,,,,Sludge,,,,,,,,,,,,,,,,,,
,,,,Fire Fang,,,,,Teleport,,,,,Growth,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,,,,,,,,,,,,,,
,,,,HP,60,,,,HP,90,,,,HP,45,,,,,,,,,,,,,,,,,
,,,,ATK,80,,,,ATK,65,,,,ATK,49,,,,,,,,,,,,,,,,,
,,,,DEF,50,,,,DEF,65,,,,DEF,49,,,,,,,,,,,,,,,,,
,,,,SPA,40,,,,SPA,40,,,,SPA,65,,,,,,,,,,,,,,,,,
,,,,SPD,40,,,,SPD,40,,,,SPD,65,,,,,,,,,,,,,,,,,
,,IF YOU'RE,,SPE,30,,,,SPE,15,,,,SPE,45,,,,,,,,,,,,,,,,,
,,LEVEL 16 ->>,,SPEED STAT:,,,18,,SPEED STAT:,,,14,,SPEED STAT:,,,26,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"VIRID. FOREST
BRENDAN",,Meditite,,,,,Corphish,,,,,Numel,,,,,Treecko,,,,,,,,,,,,,
,,,,Highest Lv -2,,,,,Highest Lv -1,,,,,Highest Lv -1,,,,,Highest Lv,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Adamant,,,,,Adamant,,,,,Lonely,,,,,Adamant,,,,,,,,,,,,,
,,,,Pure Power,,,,,Adaptability,,,,,Simple,,,,,Unburden,,,,,,,,,,,,,
,,,,Muscle Band,,,,,Mystic Water,,,,,Passho Berry,,,,,Oran Berry,,,,,,,,,,,,,
,,,,Fake Out,,,,,Aqua Jet,,,,,Ancient Power,,,,,Pow-Up Punch,,,,,,,,,,,,,
,,,,Rock Smash,,,,,Aerial Ace,,,,,Flame Charge,,,,,Bullet Seed,,,,,,,,,,,,,
,,,,Bullet Punch,,,,,Rock Tomb,,,,,Rock Tomb,,,,,Drain Punch,,,,,,,,,,,,,
,,,,Rock Tomb,,,,,Knock Off,,,,,Bulldoze,,,,,Rock Tomb,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,BASE STATS,,,,,,,,,,,,,
,,,,HP,30,,,,HP,43,,,,HP,60,,,,HP,40,,,,,,,,,,,,
,,,,ATK,40,,,,ATK,80,,,,ATK,60,,,,ATK,45,,,,,,,,,,,,
,,,,DEF,55,,,,DEF,65,,,,DEF,40,,,,DEF,35,,,,,,,,,,,,
,,,,SPA,40,,,,SPA,50,,,,SPA,65,,,,SPA,65,,,,,,,,,,,,
,,,,SPD,55,,,,SPD,35,,,,SPD,45,,,,SPD,55,,,,,,,,,,,,
,,IF YOU'RE,,SPE,60,,,,SPE,35,,,,SPE,35,,,,SPE,70,,,,,,,,,,,,
,,LEVEL 16 ->>,,SPEED STAT:,,,26,,SPEED STAT:,,,20,,SPEED STAT:,,,20,,SPEED STAT:,,,32,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,UNBURDEN:,,,64,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) IF RIVAL HAS SQUIRTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"CERULEAN CITY
RIVAL",,Hitmonlee,,,,,Eevee,,,,,Clefable,,,,,Simisear,,,,,Arbok,,,,,Wartortle,,,
,,,,Highest Lv -1,,,,,Highest Lv -2,,,,,Highest Lv -1,,,,,Highest Lv -1,,,,,Highest Lv,,,,,Highest Lv,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
